Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,3687.5,3687.5,3687.5,3687.5,2986.018799,0
2019-01-01,3687.5,3687.5,3687.5,3687.5,2986.018799,0
2019-01-02,3700.0,3700.0,3625.0,3662.5,2965.774414,45319200
2019-01-03,3637.5,3675.0,3550.0,3587.5,2905.0419920000004,74174000
2019-01-04,3587.5,3725.0,3575.0,3725.0,3016.385254,78514000
2019-01-07,3750.0,3787.5,3712.5,3712.5,3006.262939,53624800
2019-01-08,3712.5,3737.5,3675.0,3675.0,2975.896484,80073200
2019-01-09,3750.0,3787.5,3700.0,3787.5,3066.995605,104903400
2019-01-10,3812.5,3850.0,3775.0,3850.0,3117.606201,130603200
2019-01-11,3875.0,3900.0,3837.5,3850.0,3117.606201,88899400
2019-01-14,3875.0,3875.0,3825.0,3850.0,3117.606201,71320000
2019-01-15,3875.0,3900.0,3825.0,3900.0,3158.094482,86697200
2019-01-16,3900.0,3912.5,3837.5,3900.0,3158.094482,78625600
2019-01-17,3900.0,4025.0,3900.0,3937.5,3188.4609379999997,101961200
2019-01-18,3950.0,3962.5,3912.5,3937.5,3188.4609379999997,56790000
2019-01-21,3912.5,3950.0,3900.0,3900.0,3158.094482,111624400
2019-01-22,3862.5,3900.0,3825.0,3875.0,3137.850342,123558000
2019-01-23,3787.5,3850.0,3737.5,3737.5,3026.5073239999997,162196000
2019-01-24,3737.5,3750.0,3712.5,3737.5,3026.5073239999997,179821400
2019-01-25,3737.5,3762.5,3650.0,3687.5,2986.018799,143184800
2019-01-28,3687.5,3712.5,3537.5,3587.5,2905.0419920000004,207013400
2019-01-29,3587.5,3625.0,3525.0,3562.5,2884.798096,162587800
2019-01-30,3562.5,3662.5,3562.5,3625.0,2935.408447,175565200
2019-01-31,3662.5,3737.5,3637.5,3725.0,3016.385254,214008600
2019-02-01,3750.0,3812.5,3737.5,3800.0,3077.117432,104295400
2019-02-04,3750.0,3800.0,3675.0,3675.0,2975.896484,80919200
2019-02-05,3675.0,3675.0,3675.0,3675.0,2975.896484,0
2019-02-06,3725.0,3762.5,3712.5,3737.5,3026.5073239999997,60281400
2019-02-07,3737.5,3775.0,3712.5,3775.0,3056.873779,31622800
2019-02-08,3750.0,3787.5,3712.5,3787.5,3066.995605,46828400
2019-02-11,3800.0,3812.5,3762.5,3812.5,3087.23999,72358200
2019-02-12,3837.5,3837.5,3687.5,3712.5,3006.262939,82644200
2019-02-13,3712.5,3737.5,3625.0,3625.0,2935.408447,75046400
2019-02-14,3675.0,3687.5,3587.5,3587.5,2905.0419920000004,95699000
2019-02-15,3575.0,3612.5,3550.0,3587.5,2905.0419920000004,92002800
2019-02-18,3650.0,3650.0,3587.5,3637.5,2945.530273,86216800
2019-02-19,3637.5,3662.5,3562.5,3600.0,2915.1640629999997,92714200
2019-02-20,3625.0,3625.0,3475.0,3550.0,2874.675537,192881200
2019-02-21,3562.5,3662.5,3550.0,3662.5,2965.774414,100203800
2019-02-22,3637.5,3650.0,3525.0,3550.0,2874.675537,167596800
2019-02-25,3575.0,3625.0,3562.5,3625.0,2935.408447,91520000
2019-02-26,3637.5,3637.5,3575.0,3637.5,2945.530273,94091000
2019-02-27,3600.0,3637.5,3575.0,3600.0,2915.1640629999997,72356800
2019-02-28,3612.5,3625.0,3550.0,3562.5,2884.798096,84980200
2019-03-01,3575.0,3612.5,3562.5,3587.5,2905.0419920000004,47003200
2019-03-04,3587.5,3587.5,3550.0,3550.0,2874.675537,29659800
2019-03-05,3525.0,3562.5,3400.0,3475.0,2813.943115,223113200
2019-03-06,3500.0,3537.5,3437.5,3537.5,2864.553711,94977600
2019-03-07,3537.5,3537.5,3537.5,3537.5,2864.553711,0
2019-03-08,3525.0,3525.0,3450.0,3450.0,2793.699219,71523400
2019-03-11,3475.0,3475.0,3412.5,3425.0,2773.454834,53912400
2019-03-12,3412.5,3437.5,3337.5,3362.5,2722.8442379999997,60509600
2019-03-13,3400.0,3400.0,3325.0,3350.0,2712.722168,55730600
2019-03-14,3400.0,3462.5,3362.5,3450.0,2793.699219,44212200
2019-03-15,3462.5,3550.0,3462.5,3550.0,2874.675537,71744400
2019-03-18,3575.0,3612.5,3512.5,3550.0,2874.675537,52140200
2019-03-19,3587.5,3700.0,3575.0,3687.5,2986.018799,158696000
2019-03-20,3700.0,3725.0,3650.0,3700.0,2996.1411129999997,51652800
2019-03-21,3750.0,3762.5,3725.0,3737.5,3026.5073239999997,68829800
2019-03-22,3737.5,3750.0,3712.5,3725.0,3016.385254,45259400
2019-03-25,3625.0,3662.5,3587.5,3587.5,2905.0419920000004,45751600
2019-03-26,3637.5,3675.0,3637.5,3650.0,2955.652588,28799400
2019-03-27,3712.5,3712.5,3612.5,3612.5,2925.2861329999996,38906600
2019-03-28,3650.0,3687.5,3625.0,3687.5,2986.018799,47868600
2019-03-29,3700.0,3750.0,3662.5,3737.5,3026.5073239999997,71140200
2019-04-01,3750.0,3762.5,3725.0,3750.0,3036.629639,57890600
2019-04-02,3762.5,3762.5,3662.5,3712.5,3006.262939,36872800
2019-04-03,3712.5,3712.5,3712.5,3712.5,3006.262939,0
2019-04-04,3750.0,3850.0,3750.0,3837.5,3107.4841309999997,119083400
2019-04-05,3837.5,3837.5,3775.0,3775.0,3056.873779,40534200
2019-04-08,3800.0,3800.0,3687.5,3750.0,3036.629639,45862600
2019-04-09,3787.5,3862.5,3775.0,3837.5,3107.4841309999997,61437800
2019-04-10,3825.0,3837.5,3762.5,3775.0,3056.873779,30552600
2019-04-11,3787.5,3800.0,3700.0,3700.0,2996.1411129999997,70389000
2019-04-12,3675.0,3700.0,3650.0,3662.5,2965.774414,53372400
2019-04-15,3700.0,3725.0,3662.5,3675.0,2975.896484,48251000
2019-04-16,3687.5,3812.5,3675.0,3812.5,3087.23999,143066800
2019-04-17,3812.5,3812.5,3812.5,3812.5,3087.23999,0
2019-04-18,3900.0,4062.5,3887.5,3900.0,3158.094482,243343400
2019-04-19,3900.0,3900.0,3900.0,3900.0,3158.094482,0
2019-04-22,3900.0,3937.5,3825.0,3875.0,3137.850342,69981800
2019-04-23,3850.0,3887.5,3837.5,3837.5,3107.4841309999997,65384600
2019-04-24,3850.0,3862.5,3812.5,3837.5,3107.4841309999997,55408400
2019-04-25,3825.0,3837.5,3775.0,3825.0,3097.361816,111185200
2019-04-26,3775.0,3900.0,3737.5,3862.5,3127.728271,150697400
2019-04-29,3850.0,3900.0,3837.5,3887.5,3147.972656,112773000
2019-04-30,3912.5,3937.5,3862.5,3862.5,3127.728271,103243000
2019-05-01,3862.5,3862.5,3862.5,3862.5,3127.728271,0
2019-05-02,3850.0,3862.5,3812.5,3850.0,3117.606201,68943800
2019-05-03,3850.0,3850.0,3787.5,3825.0,3097.361816,60141600
2019-05-06,3750.0,3787.5,3662.5,3762.5,3046.751709,100956600
2019-05-07,3837.5,3837.5,3775.0,3825.0,3097.361816,68861800
2019-05-08,3750.0,3787.5,3725.0,3762.5,3046.751709,79916800
2019-05-09,3725.0,3787.5,3725.0,3750.0,3036.629639,90947000
2019-05-10,3775.0,3787.5,3687.5,3737.5,3026.5073239999997,65009400
2019-05-13,3787.5,3825.0,3750.0,3762.5,3046.751709,83342800
2019-05-14,3725.0,3762.5,3700.0,3725.0,3016.385254,85983800
2019-05-15,3762.5,3800.0,3712.5,3712.5,3006.262939,112972400
2019-05-16,3675.0,3725.0,3625.0,3675.0,2975.896484,86481000
2019-05-17,3750.0,3750.0,3537.5,3537.5,2864.553711,59716600
2019-05-20,3500.0,3637.5,3487.5,3612.5,2925.2861329999996,93447200
2019-05-21,3637.5,3675.0,3537.5,3625.0,2935.408447,128877200
2019-05-22,3662.5,3700.0,3612.5,3650.0,2955.652588,88253000
2019-05-23,3675.0,3800.0,3662.5,3787.5,3066.995605,65668800
2019-05-24,3800.0,3887.5,3787.5,3850.0,3117.606201,99151200
2019-05-27,3800.0,3862.5,3762.5,3862.5,3228.878662,144611000
2019-05-28,3850.0,3850.0,3675.0,3687.5,3082.586182,298780800
2019-05-29,3725.0,3775.0,3700.0,3775.0,3155.732666,89397400
2019-05-30,3775.0,3775.0,3775.0,3775.0,3155.732666,0
2019-05-31,3800.0,3887.5,3775.0,3837.5,3207.979736,173453000
2019-06-03,3837.5,3837.5,3837.5,3837.5,3207.979736,0
2019-06-04,3837.5,3837.5,3837.5,3837.5,3207.979736,0
2019-06-05,3837.5,3837.5,3837.5,3837.5,3207.979736,0
2019-06-06,3837.5,3837.5,3837.5,3837.5,3207.979736,0
2019-06-07,3837.5,3837.5,3837.5,3837.5,3207.979736,0
2019-06-10,3925.0,3975.0,3912.5,3925.0,3281.125732,208042400
2019-06-11,3937.5,3950.0,3900.0,3937.5,3291.575195,107140400
2019-06-12,3950.0,3950.0,3900.0,3937.5,3291.575195,69330800
2019-06-13,3937.5,3950.0,3850.0,3912.5,3270.67627,63482400
2019-06-14,3937.5,3937.5,3900.0,3912.5,3270.67627,61672200
2019-06-17,3950.0,3950.0,3900.0,3900.0,3260.2270510000003,47269400
2019-06-18,3887.5,3937.5,3887.5,3925.0,3281.125732,104106200
2019-06-19,3950.0,4000.0,3937.5,3987.5,3333.373047,156615200
2019-06-20,4000.0,4025.0,3962.5,3975.0,3322.923584,93589200
2019-06-21,4000.0,4012.5,3950.0,3987.5,3333.373047,145919600
2019-06-24,3950.0,4012.5,3950.0,3987.5,3333.373047,70252200
2019-06-25,4012.5,4012.5,3962.5,3975.0,3322.923584,59303200
2019-06-26,3925.0,4000.0,3925.0,3975.0,3322.923584,72115200
2019-06-27,3987.5,4025.0,3987.5,4000.0,3343.822266,63152000
2019-06-28,4012.5,4025.0,3987.5,4012.5,3354.271973,61888000
2019-07-01,4025.0,4037.5,3987.5,4000.0,3343.822266,61455600
2019-07-02,4025.0,4025.0,3987.5,4012.5,3354.271973,64875600
2019-07-03,3975.0,4012.5,3975.0,4012.5,3354.271973,93933600
2019-07-04,4025.0,4025.0,4000.0,4012.5,3354.271973,31578600
2019-07-05,3962.5,4012.5,3862.5,3912.5,3270.67627,186756200
2019-07-08,3875.0,3937.5,3862.5,3937.5,3291.575195,105905600
2019-07-09,3912.5,3962.5,3900.0,3950.0,3302.024414,88590800
2019-07-10,3975.0,4000.0,3962.5,3975.0,3322.923584,100964600
2019-07-11,4012.5,4025.0,3987.5,4000.0,3343.822266,70231200
2019-07-12,4025.0,4062.5,4012.5,4037.5,3375.170898,73474000
